yaw,pitch,roll,azimuth,elevation,radius
0,0,0,0,0,0
0.5,0,0.2,-180.0,-90.0,0.02
1,0,0.3,-170.0,-80.0,0.04
1,0.2,0.4,-160.0,-70.0,0.06
0.9,0.3,0.5,-150.0,-60.0,0.08
1,0.3,0.6,-140.0,-50.0,0.10
1.2,0.4,0.65,-130.0,-40.0,0.12
1.4,0.5,0.7,-120.0,-30.0,0.14
1.6,0.6,0.75,-110.0,-20.0,0.16
1.6,0.7,1,-100.0,-10.0,0.18
1.8,0.8,1.25,0.0,0.0,0.20
2.0,0.9,1.5,180.0,90.0,0.22
3.0,1.0,1.75,170.0,80.0,0.24
5.0,2.0,2.0,160.0,70.0,0.25
3.5,3.0,1.75,150.0,60.0,0.23
2.0,4.0,1.5,140.0,50.0,0.21
1.6,5.0,1.25,130.0,40.0,0.19
1.5,6.0,1.0,120.0,30.0,0.17
1.2,7.0,0.75,110.0,20.0,0.15
1.0,8.0,0.75,100.0,10.0,0.13
